system:index,Biome_Type,Bulk_Density,Carbon_Content,Clay_Content,Human_Footprint,Max_DEF,Max_VPD,Pre_NDVI,Ref_ID,Sand_Content,TWI,aspect,dNBR,def,elevation,esa_lc_2021,event_start,gfc_lossyear,pdsi,pr,slope,soil,tmmx,vpd,.geo,Prob_Arc_1,Prob_Arc_2,Prob_Arc_3,Predicted_Dominant_Archetype
00000000000000000102,12.0,114.0,8.0,20.0,0.0008272457052953541,1970.0,126.0,0.3402636768931923,288,66.0,14.2834898485744,242.72374575610263,-0.0230009798806048,718.5416666666666,241.0,10,2002,19.0,-69.16666666666667,36.29166666666666,1.6860519647598269,115.28125,203.80208333333331,68.48958333333333,"{""type"":""Point"",""coordinates"":[117.76149665931135,-34.39350125353551]}",0.1841577,0.9185426,0.043164834,Archetype_2
000000000000000001c6,5.0,126.0,8.0,20.0,0.119792491197586,1927.0,137.0,0.4360111983105549,490,47.0,14.832121140498275,99.94796061214365,-0.0272362709136663,525.0729166666666,2564.0,10,1997,19.0,-118.75,41.51041666666666,1.6214115619659424,108.39583333333331,140.875,69.375,"{""type"":""Point"",""coordinates"":[-111.6270221580648,35.27058413524305]}",0.74438477,0.54379416,0.055574287,Archetype_1
00000000000000000212,5.0,128.0,8.0,23.0,0.0279137939214706,1915.0,150.0,0.506747959889489,567,38.0,17.148642242670782,306.7205824136766,0.0020906823718759,559.09375,2250.0,10,1997,19.0,-132.52083333333334,47.15625,0.3070080876350403,175.79166666666666,153.42708333333334,75.98958333333333,"{""type"":""Point"",""coordinates"":[-111.30225691014022,34.46693372968366]}",0.7698189,0.17047381,0.13696149,Archetype_1
00000000000000000282,12.0,129.0,8.0,14.0,0.2284855246543884,1936.0,191.0,0.5043715196507361,703,64.0,12.091348110495694,257.439261491613,0.030667067134474,849.9479166666666,1916.0,10,2002,5.0,-178.88541666666666,54.32291666666666,10.24063205718994,266.5,172.26041666666666,97.23958333333331,"{""type"":""Point"",""coordinates"":[-116.72763624366571,33.795076514859915]}",0.21709122,0.064437516,0.49331003,Archetype_3
00000000000000000296,1.0,43.0,56.0,29.0,0.1442947387695312,871.0,123.0,0.647240206545415,727,50.0,21.35029372498205,158.18733838185818,,65.86458333333333,26.0,10,1997,3.0,-22.67708333333333,209.22916666666663,0.052032109349966,1056.9166666666667,317.65625,93.05208333333331,"{""type"":""Point"",""coordinates"":[114.16666749024647,-1.9166687831058025]}",0.89310545,0.025867432,0.39680767,Archetype_1
000000000000000002e9,12.0,136.0,5.0,19.0,0.2405079752206802,1835.0,194.0,0.563615108440472,825,56.0,12.963477391350596,230.19585084332996,0.0583063809027607,837.3229166666666,1044.0,10,2002,8.0,-156.0,42.28125,10.69498062133789,382.0729166666667,205.61458333333331,105.21875,"{""type"":""Point"",""coordinates"":[-116.90540276626238,33.33750140115952]}",0.69858235,0.021427045,0.4126879,Archetype_1
00000000000000000340,12.0,135.0,5.0,20.0,0.3626148104667663,1899.0,223.0,0.3950303762921389,930,42.0,15.00320692300352,151.63301857217652,-0.1057984732480981,460.3125,926.0,10,2015,14.0,-135.17708333333334,67.07291666666667,0.9331995844841005,529.8645833333334,179.52083333333334,72.16666666666667,"{""type"":""Point"",""coordinates"":[-6.165277971323767,42.22027595018164]}",0.33352375,0.5732695,0.16535021,Archetype_2
00000000000000000278,5.0,122.0,7.0,18.0,0.0344173274934291,1806.0,151.0,0.4339678530693537,693,46.0,13.241304493587757,293.6612737166772,-0.1190716017145104,438.4791666666667,3021.0,10,1988,5.0,-121.54166666666669,43.40625,4.8751091957092285,174.51041666666666,108.45833333333331,64.95833333333333,"{""type"":""Point"",""coordinates"":[-112.8634283208611,37.59504216878753]}",0.59532297,0.62142456,0.054225452,Archetype_2
0000000000000000033e,12.0,135.0,5.0,20.0,0.3092061877250671,1920.0,226.0,0.4091232432679728,928,42.0,15.78263848216712,99.8069216807644,-0.0640313129756562,473.9270833333333,889.0,20,2015,13.0,-130.57291666666666,65.77083333333333,0.3970471620559692,504.5625,181.78125,74.32291666666667,"{""type"":""Point"",""coordinates"":[-6.0933348349274725,42.21944209828465]}",0.37425235,0.47153577,0.07262266,Archetype_2
00000000000000000545,12.0,126.0,7.0,28.0,0.2519668638706207,1828.0,160.0,0.3914379205517839,1556,35.0,,,0.0005927354827737208,446.40625,147.0,20,2000,6.0,-98.07291666666669,76.65625,,1341.0520833333333,205.64583333333331,69.77083333333333,"{""type"":""Point"",""coordinates"":[20.68399952381721,37.768001780448586]}",0.12766066,0.32101962,0.40503278,Archetype_3
00000000000000000178,6.0,86.0,35.0,13.0,0.0389959886670112,530.0,83.0,0.3562126573410304,409,54.0,,,0.0316641797844399,45.9375,,30,1999,9.0,-132.5,49.54166666666666,,747.0833333333334,56.21875,25.510416666666668,"{""type"":""Point"",""coordinates"":[44.16043081853595,62.98189058693513]}",0.21241446,0.35798773,0.35889614,Archetype_3
