system:index,Biome_Type,Bulk_Density,Carbon_Content,Clay_Content,Human_Footprint,Max_DEF,Max_VPD,Pre_NDVI,Ref_ID,Sand_Content,TWI,aspect,dNBR,def,elevation,esa_lc_2021,event_start,gfc_lossyear,pdsi,pr,slope,soil,tmmx,vpd,.geo
00000000000000000030,12.0,112.0,7.0,18.0,0.21788346767425537,2107.0,173.0,0.5210301733180939,50,67.0,15.531910199237018,257.79236830666355,-0.008742998204422814,590.5520833333334,283.0,10,2010,,-234.94791666666666,79.36458333333333,0.7766812443733215,1335.3229166666667,223.5,86.39583333333333,"{""type"":""Point"",""coordinates"":[116.035672942192,-32.857688750505574]}"
00000000000000000031,12.0,118.0,7.0,15.0,0.21810898184776306,2361.0,203.0,0.5165065097588359,51,75.0,15.946637611976453,146.0465479417623,0.014836527862013948,831.6770833333334,290.0,10,2010,,-148.21875,60.510416666666664,0.1630621999502182,466.3541666666667,235.23958333333334,100.66666666666667,"{""type"":""Point"",""coordinates"":[116.24511691867232,-31.91811156753399]}"
00000000000000000034,12.0,112.0,7.0,18.0,0.21788346767425537,2107.0,173.0,0.5210301733180939,54,67.0,15.531910199237018,257.79236830666355,-0.008742998204422814,590.5520833333334,283.0,10,2010,,-234.94791666666666,79.36458333333333,0.7766812443733215,1335.3229166666667,223.5,86.39583333333333,"{""type"":""Point"",""coordinates"":[116.03394281098325,-32.84656329337723]}"
00000000000000000040,12.0,120.0,7.0,18.0,0.05226055160164833,2215.0,186.0,0.48461547190017307,66,67.0,22.635919273401896,239.51632868604332,-0.02298646906130608,638.6041666666666,222.0,10,2010,,-216.59375,83.33333333333333,0.26662731170654297,1212.5,230.30208333333334,92.02083333333333,"{""type"":""Point"",""coordinates"":[116.01999028378702,-32.74110109436218]}"
00000000000000000041,12.0,120.0,7.0,18.0,0.05226055160164833,2215.0,186.0,0.48461547190017307,67,67.0,22.635919273401896,239.51632868604332,-0.02298646906130608,638.6041666666666,222.0,10,2010,,-216.59375,83.33333333333333,0.26662731170654297,1212.5,230.30208333333334,92.02083333333333,"{""type"":""Point"",""coordinates"":[116.01373862411008,-32.73920597641446]}"
00000000000000000043,12.0,120.0,6.0,18.0,0.1521489918231964,2247.0,185.0,0.52792066090925,69,68.0,15.088449385380402,274.5509443999218,-0.016153140077187655,646.8229166666666,244.0,10,2010,,-207.86458333333334,86.98958333333333,0.8522800207138062,1114.8854166666667,229.48958333333334,91.95833333333333,"{""type"":""Point"",""coordinates"":[116.01841622111517,-32.731723604846785]}"
00000000000000000044,12.0,120.0,6.0,18.0,0.1521489918231964,2247.0,185.0,0.52792066090925,70,68.0,15.088449385380402,274.5509443999218,-0.016153140077187655,646.8229166666666,244.0,10,2010,,-207.86458333333334,86.98958333333333,0.8522800207138062,1114.8854166666667,229.48958333333334,91.95833333333333,"{""type"":""Point"",""coordinates"":[116.01620896609369,-32.729592154543234]}"
00000000000000000045,12.0,111.0,8.0,20.0,0.21653248369693756,2275.0,182.0,0.5395985942108318,71,63.0,15.502593498729144,145.05962492409896,-0.03417286706873657,675.6979166666666,305.0,10,2010,,-199.01041666666666,87.97916666666667,0.20035719871520996,881.7604166666666,228.28125,91.22916666666667,"{""type"":""Point"",""coordinates"":[115.99809163851351,-32.631607867994816]}"
00000000000000000046,12.0,111.0,8.0,20.0,0.21653248369693756,2275.0,182.0,0.5395985942108318,72,63.0,15.502593498729144,145.05962492409896,-0.03417286706873657,675.6979166666666,305.0,10,2010,,-199.01041666666666,87.97916666666667,0.20035719871520996,881.7604166666666,228.28125,91.22916666666667,"{""type"":""Point"",""coordinates"":[115.9981451477262,-32.630662538571485]}"
0000000000000000004e,12.0,115.0,7.0,20.0,0.14963552355766296,2347.0,186.0,0.5050532396666032,80,66.0,16.13386870212356,263.86974214841837,-0.0332592351033596,712.875,287.0,10,2010,,-189.29166666666666,87.58333333333333,1.1759629249572754,651.1875,230.75,94.1875,"{""type"":""Point"",""coordinates"":[116.01003311113467,-32.56296000727702]}"
00000000000000000052,12.0,120.0,5.0,14.0,0.09742966294288635,2367.0,200.0,0.5430400238563486,95,73.0,16.83413991149901,337.1113997315676,0.044391164916904924,810.3125,351.0,10,2010,,-134.30208333333334,62.760416666666664,0.14681890606880188,377.5520833333333,230.4375,98.0,"{""type"":""Point"",""coordinates"":[116.36671214529875,-32.20699888838253]}"
00000000000000000053,12.0,116.0,6.0,19.0,0.41480350494384766,2344.0,188.0,0.5612607004448281,96,66.0,14.03968915523415,273.6741389321342,0.012477633925619791,729.5729166666666,275.0,10,2010,,-177.54166666666666,87.98958333333333,1.0552420616149902,520.53125,228.76041666666666,93.95833333333333,"{""type"":""Point"",""coordinates"":[116.04911267276707,-32.42910225275362]}"
00000000000000000054,12.0,116.0,6.0,19.0,0.41480350494384766,2344.0,188.0,0.5612607004448281,99,66.0,14.03968915523415,273.6741389321342,0.012477633925619791,729.5729166666666,275.0,10,2010,,-177.54166666666666,87.98958333333333,1.0552420616149902,520.53125,228.76041666666666,93.95833333333333,"{""type"":""Point"",""coordinates"":[116.04998665657357,-32.41610397318283]}"
00000000000000000056,12.0,115.0,6.0,21.0,0.24373047053813934,2348.0,189.0,0.5508506292217796,101,65.0,18.33935964341759,337.27596118983024,0.00191670501636515,736.75,307.0,10,2010,,-178.8125,86.46875,0.8588389158248901,541.4479166666666,230.32291666666666,94.6875,"{""type"":""Point"",""coordinates"":[116.03940075067266,-32.40379685427532]}"
00000000000000000057,12.0,115.0,6.0,16.0,0.3041681945323944,2347.0,190.0,0.5979381374056892,102,70.0,17.16498246106431,294.9189206871453,-0.006885766243759361,744.2291666666666,278.0,10,2010,,-180.125,84.42708333333333,0.252232164144516,561.8541666666666,231.27083333333334,95.375,"{""type"":""Point"",""coordinates"":[116.0709578088279,-32.35325294383451]}"
00000000000000000058,12.0,115.0,6.0,16.0,0.3041681945323944,2347.0,190.0,0.5979381374056892,103,70.0,17.16498246106431,294.9189206871453,-0.006885766243759361,744.2291666666666,278.0,10,2010,,-180.125,84.42708333333333,0.252232164144516,561.8541666666666,231.27083333333334,95.375,"{""type"":""Point"",""coordinates"":[116.07435564383063,-32.34730004392816]}"
